Device_ID;Идентификатор объекта;Имя объекта;Тип Объекта;Описание;371.center;371.zoom;371.bounds;371.id;371.kind;371.isBase;371.caption;371.minZoom;371.maxZoom;371.updateInterval;371.parent;371.reference;371.iconUrl;371.iconSize;371.popupAnchor;371.crd;371.description;371.visible;371.zooms;371.popupUrl;371.cols;371.html;371.visualization;371.replace.CALL;371.replace.VIDEO;371.replace.CHAT;371.replace.NAME;371.replace.TEXT;371.replace.CH4;371.replace.C3H8;371.replace.CO;371.replace.H2;371.replace.DATA;371.replace.UNIT;371.content.icon;371.content.icon_active;371.replace.ON;371.replace.OFF;371.replace.ALARM;371.login
846;75;77;79;28;371.center;371.zoom;371.bounds;371.id;371.kind;371.isBase;371.caption;371.minZoom;371.maxZoom;371.updateInterval;371.parent;371.reference;371.iconUrl;371.iconSize;371.popupAnchor;371.crd;371.description;371.visible;371.zooms;371.popupUrl;371.cols;371.html;371.visualization;371.replace.CALL;371.replace.VIDEO;371.replace.CHAT;371.replace.NAME;371.replace.TEXT;371.replace.CH4;371.replace.C3H8;371.replace.CO;371.replace.H2;371.replace.DATA;371.replace.UNIT;371.content.icon;371.content.icon_active;371.replace.ON;371.replace.OFF;371.replace.ALARM;371.login
1;43985;Map:base;54;Карта НПЗ;[300,-190];2;[[0,0],[700,-400]];base;layer;1;Карта НПЗ;2;5;200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;43986;Map:base/azs;54;Автозаправочные;;;;azs;;;Автозаправочные;;;;base;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;43987;Map:base/azs.1;54;АЗС-1;;;;;icon;;Маркер 1;;;;;Site:PETROL-STATIONS/PETROL-STATION_1.gas_gun_1_1_activated;/svg/marker/Gas.svg;[40,40];[0,-20];[298,-78];АЗС-1;1;[1,2,3,4,5];;;;;;;;;;;;;;;;;;;;;
1;43988;Map:base/azs.2;54;АЗС-2;;;;;icon;;Маркер 2;;;;;Site:PETROL-STATIONS/PETROL-STATION_1.gas_gun_1_1_activated;/svg/marker/Gas.svg;[40,40];[0,-20];[85,-332];АЗС-2;1;[1,2,3,4,5];;;;;;;;;;;;;;;;;;;;;
1;43992;Map:base/location;54;Локации сотрудников;;;;location;;;Локации сотрудников;;;;base;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;43193;Map:base/location.1;54;Подключение;;;;;icon;;Подключено локаций;;;;;Map:level02/4/120/-34;/svg/marker/Loc.svg;[40,40];[0,-20];[156,-220];Подключено локаций;1;[1,2];;;;;;;;;;;;;;;;;;;;;
1;43194;Map:base/location.2;54;Севостьянова Екатерина;;;;;popup;;"Метролог
<br>Севостьянова Екатерина";;;;;Map:level02/4/120/-34;/svg/marker/user_1.svg;[40,40];[0,-20];[295,-245];"Метролог
Севостьянова Екатерина";1;[2,3,4,5];;;<visiobas src='/svg/popup/user.svg'></visiobas>;;Site:Geolocation/user_call_1;Phone:+91106;User:ekaterinna;Севостьянова Екатерина;"Бухгалтер
";;;;;;;;;;;;ekaterinna
1;43195;Map:base/location.3;54;Коршунов Антон;;;;;popup;;"Архитектор
<br>Коршунов Антон";;;;;Map:level02/4/120/-34;/svg/marker/user_2.svg;[40,40];[0,-20];[194,-196];"Архитектор
Коршунов Анттон";1;[2,3,4,5];;;<visiobas src='/svg/popup/user.svg'></visiobas>;;Site:Geolocation/user_call_2;Phone:+91107;User:user;Коршунов Антон;"Архитектор
";;;;;;;;;;;;user
1;43196;Map:base/location.4;54;Иванов Дмитрий;;;;;popup;;"Администратор
<br>Иванов Дмитрий";;;;;Map:level02/4/120/-34;/svg/marker/user_3.svg;[40,40];[0,-20];[445,-107];"Администратор
Иванов Дмитрий";1;[2,3,4,5];;;<visiobas src='/svg/popup/user.svg'></visiobas>;;Site:Geolocation/user_call_3;Phone:+91108;User:admin;Иванов Дмитрий;"Администратор
";;;;;;;;;;;;admin
