Код в проекте;Device_ID Устройство;Идентификатор объекта;Имя объекта;Тип Объекта;Описание;Текущее значение 85;Флаги состояния 111;PropertyList-371 адрес регистра;PropertyList-371 Количество регистров для чтения;PropertyList-371 Функция для чтения регистра;PropertyList-371Функция для записи в регистр;PropertyList-371 Тип данных;PropertyList-371 Длина данных в битах;PropertyList-371 Бит регистра;PropertyList-371 Извлекаемые данные из массива/Номер слова;PropertyList-371 Коэфф. Преобразования(делитиь значение на него);Состояние события 36;Достоверность 103;Отключен 81;Единицы - 117;Макс. Значение - 65;Мин. Значение - 69;Высокий предел - 45;Низкий предел - 59;Класс уведомления - 17;"356.Задержка по времени (normal)
5";113.Задержка по времени (offnormal);Предел включения 52;"35.Уведомление разрешено
TO_OFFNORMAL, TO_FAULT, TO_NORMAL
[true,true,true]";Признаный переход - 0;Тип уведомления - 72;Отметки времени событий 130;Тексты сообщений о событиях 351;Имя профиля 168;Разрешение - 106;Logs - 133;Приращение COV - 22;Нечувствительность 25;Приоритетный массив - 87;Освободить по умолчанию - 104;Полярность - 84;Неактивный текст - 46;Активный текст - 4;Время COS - 16;Число COS - 15;Сброс числа состояний - 115;Затраченное активное время - 33;Сброс активного времени - 114;Активировать собитие-353;Сигнальное значение мультистейт - 7;Сигнальное значение - 6;Минимально выключенное время - 66;Минимальное включеное время - 67;Значение обратной связи - 40;Состояние текст 110;Число состояний 74;Тайм-аут APDU;Число повторов APDU;Конфигурация;Интервал обновления в сек.;Глобальная переменная;Шаблон;Подстановка;
;846;75;77;79;28;85;111;371.modbus.address;371.modbus.quantity;371.modbus.functionRead;371.modbus.functionWrite;371.modbus.dataType;371.modbus.dataLenght;371.modbus.bit;371.modbus.word;371.modbus.scale;36;103;81;117;65;69;45;59;17;356;113;52;35;;72;130;351;168;106;133;22;25;87;104;84;46;4;16;15;115;33;114;353;7;6;66;67;40;110;74;11;73;154;Update_Interval;Alias;Template;Replace;
Engineering;1;3999;Site:Engineering;;Инженерные системы здания;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;/svg/MENU.svg;;
DDC;1;4001;Site:Engineering.DDC;;Щиты автоматики;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HAWK_600;200;200;Site:Engineering.DDC.HAWK_600;8;ПЛК BACnet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HAWK_600;300;300;Site:Engineering.DDC.HAWK_600;8;ПЛК BACnet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SIEMENS PXD;400;400;Site:Engineering.DDC.SIEMENS PXD;8;ПЛК BACnet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SCHNEIDER;1673;1673;Site:Engineering.DDC.SCHNEIDER;8;Шлюз ModbusTCP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SIEMENS PXD;700;700;Site:Engineering.DDC.SIEMENS PXD;8;ПЛК BACnet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SIEMENS PXD;600;600;Site:Engineering.DDC.SIEMENS PXD;8;ПЛК BACnet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DANFOSS;500;500;Site:Engineering.DDC.DANFOSS;8;ПЛК BACnet;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
